business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
The Plant Cafe	3352 STEINER ST	San Francisco	CA	94123	37.800407	-122.437796		29429_20160706	2017-07-06	80.0	Routine - Unscheduled	29429_20160706_103105	Improper cooling methods	High Risk
LA PAZ RESTAURANT	1028 POTRERO Ave	San Francisco	CA	94110	37.755693	-122.40665		2334_20160105	2017-01-05	90.0	Routine - Unscheduled	2334_20160105_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
The Myriad	2175 Market St	San Francisco	CA	94114			+14155644318	86164_20160303	2017-03-03		New Construction			
Lou's Fish Shack	300 Jefferson St	San Francisco	CA	94133				2934_20160808	2017-08-08		Reinspection/Followup			
Champa Garden	613 Faxon Ave	San Francisco	CA	94112			+14155344186	75402_20160504	2017-05-04	82.0	Routine - Unscheduled	75402_20160504_103148	No thermometers or uncalibrated thermometers	Low Risk
Pizzetta 211	211 23rd Ave	San Francisco	CA	94121	37.783758	-122.482885		40217_20170324	2017-03-24	83.0	Routine - Unscheduled	40217_20170324_103120	Moderate risk food holding temperature	Moderate Risk
Farmer Brown	25 Mason Street	San Francisco	CA	94102	37.783657	-122.409227		19277_20160930	2017-09-30	90.0	Routine - Unscheduled	19277_20160930_103145	Improper storage of equipment utensils or linens	Low Risk
Ming Kee Restaurant	1548 Ocean Ave	San Francisco	CA	94112			+14155338198	77484_20170228	2017-02-28	89.0	Routine - Unscheduled	77484_20170228_103144	Unapproved or unmaintained equipment or utensils	Low Risk
2227 Irving Seafood Market Inc	2227 Irving St	San Francisco	CA	94122			+14155215212	83808_20161102	2017-11-02		Complaint			
New Casa Maria Produce Market #2	58 LELAND Ave	San Francisco	CA	94134	37.711726	-122.404928		69317_20170926	2017-09-26	86.0	Routine - Unscheduled	69317_20170926_103154	Unclean or degraded floors walls or ceilings	Low Risk
Shabuway, Men-Oh	5120 GEARY Blvd	San Francisco	CA	94118	37.780674	-122.474243		68808_20171023	2017-10-23		Complaint Reinspection/Followup			
Wicked Grounds	289 08th St	San Francisco	CA	94103				78668_20170314	2017-03-14	94.0	Routine - Unscheduled	78668_20170314_103154	Unclean or degraded floors walls or ceilings	Low Risk
SAN FRANCISCO MUSEUM OF MODERN ART	151 03rd St	San Francisco	CA	94103	37.785643	-122.401192		5268_20180124	2017-01-24		Non-inspection site visit	5268_20180124_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Peet's Coffee & Tea	1400 Mission St Suite 130	San Francisco	CA	94103			+14150868663	86781_20170316	2017-03-16	98.0	Routine - Unscheduled	86781_20170316_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Dum	Off The Grid	San Francisco	CA					78337_20160601	2017-06-01		Reinspection/Followup			
7 Eleven #2366-35663H	690 Market St	San Francisco	CA	94104				93856_20180306	2017-03-06		New Ownership	93856_20180306_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
Cala Restaurant	149 Fell St	San Francisco	CA	94102				83998_20150901	2017-09-01		New Construction			
Basa Seafood Express	3064 24th St	San Francisco	CA	94110	37.752578	-122.413372		59397_20160630	2017-06-30	69.0	Routine - Unscheduled	59397_20160630_103139	Improper food storage	Low Risk
Sushi Avenue Inc	1515 Sloat Blvd	San Francisco	CA	94132			+14151297000	68974_20170601	2017-06-01		Reinspection/Followup			
Guckenheimer/Blue Shield of CA	50 Beale St 23rd Floor	San Francisco	CA	94105				74508_20170721	2017-07-21	74.0	Routine - Unscheduled	74508_20170721_103115	Other high risk violation	High Risk
Rabbit Hole Cafe	160 14th St.	San Francisco	CA	94103				88429_20170703	2017-07-03		New Ownership			
New Bosworth Market	145 Bosworth	San Francisco	CA	94112	37.733466	-122.428086		17779_20161103	2017-11-03	90.0	Routine - Unscheduled	17779_20161103_103177	Non service animal	Low Risk
Reina's Restaurant	5479 Mission St	San Francisco	CA	94112				90603_20170214	2017-02-14		New Ownership			
Crdova Market	301 ROLPH St	San Francisco	CA	94112	37.713426	-122.436347		65350_20170310	2017-03-10		Reinspection/Followup			
Alexander's Steakhouse	448 BRANNAN St	San Francisco	CA	94107	37.779153	-122.395569		63191_20180312	2017-03-12	84.0	Routine - Unscheduled	63191_20180312_103120	Moderate risk food holding temperature	Moderate Risk
Kama Sushi Soma	294 09th St	San Francisco	CA	94103	37.774722	-122.406761		68672_20150407	2017-04-07	64.0	Routine - Unscheduled	68672_20150407_103109	Unclean or unsanitary food contact surfaces	High Risk
The Battery - Main Kitchen	717 Battery St 1st Floor	San Francisco	CA	94111				75258_20161025	2017-10-25	91.0	Routine - Unscheduled	75258_20161025_103109	Unclean or unsanitary food contact surfaces	High Risk
Chantal Guillon	1309 Howard St	San Francisco	CA	94103				78669_20160824	2017-08-24	92.0	Routine - Unscheduled	78669_20160824_103139	Improper food storage	Low Risk
Mediterrean Food	3848 Judah St	San Francisco	CA	94122	37.760598	-122.503259		65695_20151030	2017-10-30	84.0	Routine - Unscheduled	65695_20151030_103157	Food safety certificate or food handler card not available	Low Risk
LOS HERMANOS	2026 CHESTNUT St	San Francisco	CA	94123	37.800767	-122.436924		268_20150903	2017-09-03	94.0	Routine - Unscheduled	268_20150903_103133	Foods not protected from contamination	Moderate Risk
Tenroku Ramen	3251 20th Ave 250c	San Francisco	CA	94132				93234_20171028	2017-10-28		New Ownership - Followup			
JIM'S RESTAURANT	2420 MISSION St	San Francisco	CA	94110	37.758271	-122.419081	+14155286020	3621_20150729	2017-07-29		Complaint			
Sweet Maple Coffee Shop	2101 Sutter St	San Francisco	CA	94115	37.785833	-122.434938		64021_20150625	2017-06-25		Reinspection/Followup			
TARTINE BAKERY	0600 GUERRERO St	San Francisco	CA	94110	37.761531	-122.423862	+14155482600	3615_20170802	2017-08-02	89.0	Routine - Unscheduled	3615_20170802_103103	High risk food holding temperature	High Risk
Five Sweets	1125 Ocean Ave 102	San Francisco	CA	94112			+14155683731	82105_20170511	2017-05-11		Reinspection/Followup	82105_20170511_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Bulka Bakery	1727 Haight St	San Francisco	CA	94117				85852_20160323	2017-03-23		Reinspection/Followup	85852_20160323_103157	Food safety certificate or food handler card not available	Low Risk
Angel's Market	1649 Castro St	San Francisco	CA	94114	37.748214	-122.433746	+14155648309	4978_20160307	2017-03-07	92.0	Routine - Unscheduled	4978_20160307_103157	Food safety certificate or food handler card not available	Low Risk
